top,acc,algorithm,subject
0.2,0.667,EPC-map,1
0.3,0.667,EPC-map,1
0.4,0.583,EPC-map,1
0.5,0.511,EPC-map,1
0.6,0.463,EPC-map,1
0.7,0.429,EPC-map,1
0.8,0.403,EPC-map,1
0.9,0.37,EPC-map,1
1.0,0.33,EPC-map,1
1.1,0.31,EPC-map,1
1.2,0.294,EPC-map,1
1.3,0.271,EPC-map,1
1.4,0.26,EPC-map,1
1.5,0.257,EPC-map,1
0.2,0.438,EPC-map,1
0.3,0.333,EPC-map,1
0.4,0.242,EPC-map,1
0.5,0.195,EPC-map,1
0.6,0.184,EPC-map,1
0.7,0.172,EPC-map,1
0.8,0.152,EPC-map,1
0.9,0.176,EPC-map,1
1.0,0.193,EPC-map,1
1.1,0.176,EPC-map,1
1.2,0.172,EPC-map,1
1.3,0.159,EPC-map,1
1.4,0.155,EPC-map,1
1.5,0.153,EPC-map,1
0.2,0.588,EPC-map,1
0.3,0.52,EPC-map,1
0.4,0.441,EPC-map,1
0.5,0.452,EPC-map,1
0.6,0.412,EPC-map,1
0.7,0.39,EPC-map,1
0.8,0.382,EPC-map,1
0.9,0.342,EPC-map,1
1.0,0.318,EPC-map,1
1.1,0.29,EPC-map,1
1.2,0.275,EPC-map,1
1.3,0.264,EPC-map,1
1.4,0.252,EPC-map,1
1.5,0.236,EPC-map,1
0.2,0.231,EPC-map,1
0.3,0.3,EPC-map,1
0.4,0.259,EPC-map,1
0.5,0.235,EPC-map,1
0.6,0.22,EPC-map,1
0.7,0.229,EPC-map,1
0.8,0.218,EPC-map,1
0.9,0.21,EPC-map,1
1.0,0.203,EPC-map,1
1.1,0.24,EPC-map,1
1.2,0.232,EPC-map,1
1.3,0.225,EPC-map,1
1.4,0.208,EPC-map,1
1.5,0.204,EPC-map,1
0.2,0.125,EPC-map,1
0.3,0.125,EPC-map,1
0.4,0.094,EPC-map,1
0.5,0.075,EPC-map,1
0.6,0.063,EPC-map,1
0.7,0.071,EPC-map,1
0.8,0.078,EPC-map,1
0.9,0.083,EPC-map,1
1.0,0.087,EPC-map,1
1.1,0.08,EPC-map,1
1.2,0.073,EPC-map,1
1.3,0.067,EPC-map,1
1.4,0.063,EPC-map,1
1.5,0.067,EPC-map,1
0.2,0.824,EPC-map,1
0.3,0.76,EPC-map,1
0.4,0.676,EPC-map,1
0.5,0.643,EPC-map,1
0.6,0.627,EPC-map,1
0.7,0.576,EPC-map,1
0.8,0.5,EPC-map,1
0.9,0.487,EPC-map,1
1.0,0.447,EPC-map,1
1.1,0.419,EPC-map,1
1.2,0.402,EPC-map,1
1.3,0.391,EPC-map,1
1.4,0.37,EPC-map,1
1.5,0.354,EPC-map,1
0.2,0.583,EPC-map,1
0.3,0.472,EPC-map,1
0.4,0.479,EPC-map,1
0.5,0.475,EPC-map,1
0.6,0.438,EPC-map,1
0.7,0.424,EPC-map,1
0.8,0.412,EPC-map,1
0.9,0.385,EPC-map,1
1.0,0.377,EPC-map,1
1.1,0.366,EPC-map,1
1.2,0.342,EPC-map,1
1.3,0.348,EPC-map,1
1.4,0.329,EPC-map,1
1.5,0.328,EPC-map,1
0.2,0.0,EPC-map,1
0.3,0.0,EPC-map,1
0.4,0.0,EPC-map,1
0.5,0.0,EPC-map,1
0.6,0.0,EPC-map,1
0.7,0.0,EPC-map,1
0.8,0.015,EPC-map,1
0.9,0.014,EPC-map,1
1.0,0.012,EPC-map,1
1.1,0.011,EPC-map,1
1.2,0.01,EPC-map,1
1.3,0.009,EPC-map,1
1.4,0.009,EPC-map,1
1.5,0.008,EPC-map,1
0.2,0.75,EPC-map,1
0.3,0.733,EPC-map,1
0.4,0.6,EPC-map,1
0.5,0.529,EPC-map,1
0.6,0.492,EPC-map,1
0.7,0.465,EPC-map,1
0.8,0.432,EPC-map,1
0.9,0.407,EPC-map,1
1.0,0.382,EPC-map,1
1.1,0.357,EPC-map,1
1.2,0.336,EPC-map,1
1.3,0.333,EPC-map,1
1.4,0.317,EPC-map,1
1.5,0.301,EPC-map,1
0.2,0.346,EPC-map,1
0.3,0.308,EPC-map,1
0.4,0.346,EPC-map,1
0.5,0.318,EPC-map,1
0.6,0.278,EPC-map,1
0.7,0.283,EPC-map,1
0.8,0.267,EPC-map,1
0.9,0.263,EPC-map,1
1.0,0.235,EPC-map,1
1.1,0.241,EPC-map,1
1.2,0.222,EPC-map,1
1.3,0.211,EPC-map,1
1.4,0.212,EPC-map,1
1.5,0.202,EPC-map,1
0.2,0.429,EPC-map,1
0.3,0.313,EPC-map,1
0.4,0.279,EPC-map,1
0.5,0.222,EPC-map,1
0.6,0.215,EPC-map,1
0.7,0.197,EPC-map,1
0.8,0.172,EPC-map,1
0.9,0.173,EPC-map,1
1.0,0.156,EPC-map,1
1.1,0.143,EPC-map,1
1.2,0.138,EPC-map,1
1.3,0.128,EPC-map,1
1.4,0.118,EPC-map,1
1.5,0.117,EPC-map,1
0.2,0.2,EPC-map,1
0.3,0.174,EPC-map,1
0.4,0.133,EPC-map,1
0.5,0.132,EPC-map,1
0.6,0.152,EPC-map,1
0.7,0.17,EPC-map,1
0.8,0.148,EPC-map,1
0.9,0.145,EPC-map,1
1.0,0.143,EPC-map,1
1.1,0.131,EPC-map,1
1.2,0.152,EPC-map,1
1.3,0.14,EPC-map,1
1.4,0.131,EPC-map,1
1.5,0.122,EPC-map,1
0.2,0.588,EPC-map,1
0.3,0.538,EPC-map,1
0.4,0.471,EPC-map,1
0.5,0.395,EPC-map,1
0.6,0.327,EPC-map,1
0.7,0.3,EPC-map,1
0.8,0.275,EPC-map,1
0.9,0.269,EPC-map,1
1.0,0.241,EPC-map,1
1.1,0.221,EPC-map,1
1.2,0.221,EPC-map,1
1.3,0.204,EPC-map,1
1.4,0.19,EPC-map,1
1.5,0.177,EPC-map,1
0.2,0.357,EPC-map,1
0.3,0.227,EPC-map,1
0.4,0.207,EPC-map,1
0.5,0.216,EPC-map,1
0.6,0.182,EPC-map,1
0.7,0.196,EPC-map,1
0.8,0.186,EPC-map,1
0.9,0.167,EPC-map,1
1.0,0.176,EPC-map,1
1.1,0.173,EPC-map,1
1.2,0.182,EPC-map,1
1.3,0.177,EPC-map,1
1.4,0.175,EPC-map,1
1.5,0.18,EPC-map,1
0.2,0.308,EPC-map,1
0.3,0.225,EPC-map,1
0.4,0.189,EPC-map,1
0.5,0.149,EPC-map,1
0.6,0.15,EPC-map,1
0.7,0.14,EPC-map,1
0.8,0.121,EPC-map,1
0.9,0.108,EPC-map,1
1.0,0.104,EPC-map,1
1.1,0.109,EPC-map,1
1.2,0.106,EPC-map,1
1.3,0.098,EPC-map,1
1.4,0.091,EPC-map,1
1.5,0.085,EPC-map,1
0.2,0.5,EPC-map,1
0.3,0.467,EPC-map,1
0.4,0.375,EPC-map,1
0.5,0.36,EPC-map,1
0.6,0.383,EPC-map,1
0.7,0.357,EPC-map,1
0.8,0.338,EPC-map,1
0.9,0.333,EPC-map,1
1.0,0.3,EPC-map,1
1.1,0.282,EPC-map,1
1.2,0.267,EPC-map,1
1.3,0.262,EPC-map,1
1.4,0.25,EPC-map,1
1.5,0.247,EPC-map,1
0.2,0.895,EPC-map,1
0.3,0.828,EPC-map,1
0.4,0.795,EPC-map,1
0.5,0.796,EPC-map,1
0.6,0.724,EPC-map,1
0.7,0.721,EPC-map,1
0.8,0.654,EPC-map,1
0.9,0.614,EPC-map,1
1.0,0.582,EPC-map,1
1.1,0.561,EPC-map,1
1.2,0.53,EPC-map,1
1.3,0.496,EPC-map,1
1.4,0.474,EPC-map,1
1.5,0.456,EPC-map,1
0.2,0.643,EPC-map,1
0.3,0.636,EPC-map,1
0.4,0.621,EPC-map,1
0.5,0.541,EPC-map,1
0.6,0.5,EPC-map,1
0.7,0.471,EPC-map,1
0.8,0.407,EPC-map,1
0.9,0.379,EPC-map,1
1.0,0.351,EPC-map,1
1.1,0.321,EPC-map,1
1.2,0.295,EPC-map,1
1.3,0.281,EPC-map,1
1.4,0.262,EPC-map,1
1.5,0.243,EPC-map,1
0.2,0.652,EPC-map,1
0.3,0.657,EPC-map,1
0.4,0.617,EPC-map,1
0.5,0.508,EPC-map,1
0.6,0.493,EPC-map,1
0.7,0.458,EPC-map,1
0.8,0.411,EPC-map,1
0.9,0.364,EPC-map,1
1.0,0.345,EPC-map,1
1.1,0.331,EPC-map,1
1.2,0.317,EPC-map,1
1.3,0.299,EPC-map,1
1.4,0.277,EPC-map,1
1.5,0.258,EPC-map,1
0.2,0.357,EPC-map,1
0.3,0.381,EPC-map,1
0.4,0.321,EPC-map,1
0.5,0.361,EPC-map,1
0.6,0.326,EPC-map,1
0.7,0.32,EPC-map,1
0.8,0.298,EPC-map,1
0.9,0.266,EPC-map,1
1.0,0.236,EPC-map,1
1.1,0.228,EPC-map,1
1.2,0.209,EPC-map,1
1.3,0.194,EPC-map,1
1.4,0.18,EPC-map,1
1.5,0.167,EPC-map,1
0.2,0.913,EPC-map,1
0.3,0.8,EPC-map,1
0.4,0.745,EPC-map,1
0.5,0.712,EPC-map,1
0.6,0.634,EPC-map,1
0.7,0.554,EPC-map,1
0.8,0.505,EPC-map,1
0.9,0.458,EPC-map,1
1.0,0.412,EPC-map,1
1.1,0.415,EPC-map,1
1.2,0.394,EPC-map,1
1.3,0.37,EPC-map,1
1.4,0.349,EPC-map,1
1.5,0.337,EPC-map,1
0.2,0.0,EPC-map,1
0.3,0.0,EPC-map,1
0.4,0.0,EPC-map,1
0.5,0.0,EPC-map,1
0.6,0.0,EPC-map,1
0.7,0.0,EPC-map,1
0.8,0.0,EPC-map,1
0.9,0.0,EPC-map,1
1.0,0.045,EPC-map,1
1.1,0.041,EPC-map,1
1.2,0.037,EPC-map,1
1.3,0.034,EPC-map,1
1.4,0.032,EPC-map,1
1.5,0.03,EPC-map,1
0.2,0.313,EPC-map,1
0.3,0.208,EPC-map,1
0.4,0.212,EPC-map,1
0.5,0.268,EPC-map,1
0.6,0.245,EPC-map,1
0.7,0.241,EPC-map,1
0.8,0.242,EPC-map,1
0.9,0.23,EPC-map,1
1.0,0.217,EPC-map,1
1.1,0.198,EPC-map,1
1.2,0.182,EPC-map,1
1.3,0.168,EPC-map,1
1.4,0.155,EPC-map,1
1.5,0.145,EPC-map,1
0.2,0.792,EPC-map,1
0.3,0.806,EPC-map,1
0.4,0.813,EPC-map,1
0.5,0.787,EPC-map,1
0.6,0.726,EPC-map,1
0.7,0.694,EPC-map,1
0.8,0.649,EPC-map,1
0.9,0.661,EPC-map,1
1.0,0.639,EPC-map,1
1.1,0.634,EPC-map,1
1.2,0.63,EPC-map,1
1.3,0.608,EPC-map,1
1.4,0.588,EPC-map,1
1.5,0.568,EPC-map,1
0.2,0.238,EPC-map,1
0.3,0.161,EPC-map,1
0.4,0.143,EPC-map,1
0.5,0.113,EPC-map,1
0.6,0.095,EPC-map,1
0.7,0.095,EPC-map,1
0.8,0.083,EPC-map,1
0.9,0.074,EPC-map,1
1.0,0.085,EPC-map,1
1.1,0.078,EPC-map,1
1.2,0.071,EPC-map,1
1.3,0.066,EPC-map,1
1.4,0.061,EPC-map,1
1.5,0.057,EPC-map,1
0.2,0.941,EPC-map,1
0.3,0.8,EPC-map,1
0.4,0.765,EPC-map,1
0.5,0.698,EPC-map,1
0.6,0.686,EPC-map,1
0.7,0.6,EPC-map,1
0.8,0.559,EPC-map,1
0.9,0.494,EPC-map,1
1.0,0.442,EPC-map,1
1.1,0.426,EPC-map,1
1.2,0.417,EPC-map,1
1.3,0.396,EPC-map,1
1.4,0.367,EPC-map,1
1.5,0.341,EPC-map,1
0.2,0.846,EPC-map,1
0.3,0.897,EPC-map,1
0.4,0.885,EPC-map,1
0.5,0.833,EPC-map,1
0.6,0.772,EPC-map,1
0.7,0.772,EPC-map,1
0.8,0.762,EPC-map,1
0.9,0.746,EPC-map,1
1.0,0.742,EPC-map,1
1.1,0.71,EPC-map,1
1.2,0.677,EPC-map,1
1.3,0.637,EPC-map,1
1.4,0.614,EPC-map,1
1.5,0.586,EPC-map,1
0.2,0.5,EPC-map,1
0.3,0.375,EPC-map,1
0.4,0.321,EPC-map,1
0.5,0.269,EPC-map,1
0.6,0.25,EPC-map,1
0.7,0.237,EPC-map,1
0.8,0.215,EPC-map,1
0.9,0.192,EPC-map,1
1.0,0.187,EPC-map,1
1.1,0.17,EPC-map,1
1.2,0.156,EPC-map,1
1.3,0.155,EPC-map,1
1.4,0.15,EPC-map,1
1.5,0.139,EPC-map,1
0.2,0.7,EPC-map,1
0.3,0.6,EPC-map,1
0.4,0.6,EPC-map,1
0.5,0.49,EPC-map,1
0.6,0.475,EPC-map,1
0.7,0.423,EPC-map,1
0.8,0.395,EPC-map,1
0.9,0.363,EPC-map,1
1.0,0.343,EPC-map,1
1.1,0.321,EPC-map,1
1.2,0.295,EPC-map,1
1.3,0.28,EPC-map,1
1.4,0.275,EPC-map,1
1.5,0.255,EPC-map,1
0.2,0.529,EPC-map,1
0.3,0.462,EPC-map,1
0.4,0.371,EPC-map,1
0.5,0.386,EPC-map,1
0.6,0.385,EPC-map,1
0.7,0.41,EPC-map,1
0.8,0.414,EPC-map,1
0.9,0.405,EPC-map,1
1.0,0.398,EPC-map,1
1.1,0.385,EPC-map,1
1.2,0.381,EPC-map,1
1.3,0.368,EPC-map,1
1.4,0.35,EPC-map,1
1.5,0.333,EPC-map,1
0.2,0.455,EPC-map,1
0.3,0.303,EPC-map,1
0.4,0.227,EPC-map,1
0.5,0.218,EPC-map,1
0.6,0.197,EPC-map,1
0.7,0.169,EPC-map,1
0.8,0.148,EPC-map,1
0.9,0.131,EPC-map,1
1.0,0.117,EPC-map,1
1.1,0.123,EPC-map,1
1.2,0.12,EPC-map,1
1.3,0.118,EPC-map,1
1.4,0.11,EPC-map,1
1.5,0.102,EPC-map,1
0.2,0.273,EPC-map,1
0.3,0.265,EPC-map,1
0.4,0.244,EPC-map,1
0.5,0.246,EPC-map,1
0.6,0.235,EPC-map,1
0.7,0.215,EPC-map,1
0.8,0.209,EPC-map,1
0.9,0.186,EPC-map,1
1.0,0.175,EPC-map,1
1.1,0.168,EPC-map,1
1.2,0.154,EPC-map,1
1.3,0.142,EPC-map,1
1.4,0.138,EPC-map,1
1.5,0.135,EPC-map,1
0.2,0.706,EPC-map,1
0.3,0.654,EPC-map,1
0.4,0.571,EPC-map,1
0.5,0.545,EPC-map,1
0.6,0.547,EPC-map,1
0.7,0.532,EPC-map,1
0.8,0.493,EPC-map,1
0.9,0.487,EPC-map,1
1.0,0.483,EPC-map,1
1.1,0.474,EPC-map,1
1.2,0.472,EPC-map,1
1.3,0.452,EPC-map,1
1.4,0.452,EPC-map,1
1.5,0.444,EPC-map,1
0.2,0.941,EPC-map,1
0.3,0.769,EPC-map,1
0.4,0.8,EPC-map,1
0.5,0.795,EPC-map,1
0.6,0.75,EPC-map,1
0.7,0.705,EPC-map,1
0.8,0.629,EPC-map,1
0.9,0.608,EPC-map,1
1.0,0.557,EPC-map,1
1.1,0.51,EPC-map,1
1.2,0.476,EPC-map,1
1.3,0.439,EPC-map,1
1.4,0.431,EPC-map,1
1.5,0.402,EPC-map,1
0.2,0.368,EPC-map,1
0.3,0.429,EPC-map,1
0.4,0.368,EPC-map,1
0.5,0.362,EPC-map,1
0.6,0.333,EPC-map,1
0.7,0.318,EPC-map,1
0.8,0.316,EPC-map,1
0.9,0.318,EPC-map,1
1.0,0.305,EPC-map,1
1.1,0.288,EPC-map,1
1.2,0.272,EPC-map,1
1.3,0.268,EPC-map,1
1.4,0.248,EPC-map,1
1.5,0.239,EPC-map,1
0.2,0.579,EPC-map,1
0.3,0.571,EPC-map,1
0.4,0.5,EPC-map,1
0.5,0.468,EPC-map,1
0.6,0.439,EPC-map,1
0.7,0.394,EPC-map,1
0.8,0.382,EPC-map,1
0.9,0.341,EPC-map,1
1.0,0.316,EPC-map,1
1.1,0.308,EPC-map,1
1.2,0.289,EPC-map,1
1.3,0.268,EPC-map,1
1.4,0.248,EPC-map,1
1.5,0.232,EPC-map,1
0.2,0.417,EPC-map,1
0.3,0.405,EPC-map,1
0.4,0.306,EPC-map,1
0.5,0.242,EPC-map,1
0.6,0.216,EPC-map,1
0.7,0.209,EPC-map,1
0.8,0.192,EPC-map,1
0.9,0.171,EPC-map,1
1.0,0.169,EPC-map,1
1.1,0.162,EPC-map,1
1.2,0.155,EPC-map,1
1.3,0.143,EPC-map,1
1.4,0.133,EPC-map,1
1.5,0.134,EPC-map,1
0.2,0.25,EPC-map,1
0.3,0.25,EPC-map,1
0.4,0.188,EPC-map,1
0.5,0.15,EPC-map,1
0.6,0.125,EPC-map,1
0.7,0.107,EPC-map,1
0.8,0.094,EPC-map,1
0.9,0.083,EPC-map,1
1.0,0.075,EPC-map,1
1.1,0.091,EPC-map,1
1.2,0.094,EPC-map,1
1.3,0.106,EPC-map,1
1.4,0.098,EPC-map,1
1.5,0.092,EPC-map,1
0.2,0.563,EPC-map,1
0.3,0.5,EPC-map,1
0.4,0.5,EPC-map,1
0.5,0.45,EPC-map,1
0.6,0.396,EPC-map,1
0.7,0.339,EPC-map,1
0.8,0.328,EPC-map,1
0.9,0.292,EPC-map,1
1.0,0.275,EPC-map,1
1.1,0.25,EPC-map,1
1.2,0.24,EPC-map,1
1.3,0.24,EPC-map,1
1.4,0.232,EPC-map,1
1.5,0.217,EPC-map,1
0.2,0.857,EPC-map,1
0.3,0.682,EPC-map,1
0.4,0.517,EPC-map,1
0.5,0.514,EPC-map,1
0.6,0.455,EPC-map,1
0.7,0.392,EPC-map,1
0.8,0.339,EPC-map,1
0.9,0.318,EPC-map,1
1.0,0.297,EPC-map,1
1.1,0.272,EPC-map,1
1.2,0.25,EPC-map,1
1.3,0.25,EPC-map,1
1.4,0.233,EPC-map,1
1.5,0.225,EPC-map,1
0.2,0.909,EPC-map,1
0.3,0.875,EPC-map,1
0.4,0.818,EPC-map,1
0.5,0.778,EPC-map,1
0.6,0.667,EPC-map,1
0.7,0.632,EPC-map,1
0.8,0.568,EPC-map,1
0.9,0.531,EPC-map,1
1.0,0.473,EPC-map,1
1.1,0.433,EPC-map,1
1.2,0.409,EPC-map,1
1.3,0.38,EPC-map,1
1.4,0.351,EPC-map,1
1.5,0.341,EPC-map,1
0.2,0.75,EPC-map,1
0.3,0.571,EPC-map,1
0.4,0.482,EPC-map,1
0.5,0.465,EPC-map,1
0.6,0.424,EPC-map,1
0.7,0.374,EPC-map,1
0.8,0.336,EPC-map,1
0.9,0.307,EPC-map,1
1.0,0.289,EPC-map,1
1.1,0.269,EPC-map,1
1.2,0.259,EPC-map,1
1.3,0.255,EPC-map,1
1.4,0.237,EPC-map,1
1.5,0.23,EPC-map,1
0.2,0.476,EPC-map,1
0.3,0.484,EPC-map,1
0.4,0.381,EPC-map,1
0.5,0.346,EPC-map,1
0.6,0.317,EPC-map,1
0.7,0.315,EPC-map,1
0.8,0.321,EPC-map,1
0.9,0.34,EPC-map,1
1.0,0.314,EPC-map,1
1.1,0.33,EPC-map,1
1.2,0.302,EPC-map,1
1.3,0.294,EPC-map,1
1.4,0.286,EPC-map,1
1.5,0.274,EPC-map,1
0.2,0.412,EPC-map,1
0.3,0.36,EPC-map,1
0.4,0.324,EPC-map,1
0.5,0.31,EPC-map,1
0.6,0.275,EPC-map,1
0.7,0.271,EPC-map,1
0.8,0.25,EPC-map,1
0.9,0.224,EPC-map,1
1.0,0.2,EPC-map,1
1.1,0.183,EPC-map,1
1.2,0.176,EPC-map,1
1.3,0.173,EPC-map,1
1.4,0.168,EPC-map,1
1.5,0.165,EPC-map,1
0.2,0.741,EPC-map,1
0.3,0.707,EPC-map,1
0.4,0.648,EPC-map,1
0.5,0.603,EPC-map,1
0.6,0.561,EPC-map,1
0.7,0.558,EPC-map,1
0.8,0.532,EPC-map,1
0.9,0.488,EPC-map,1
1.0,0.489,EPC-map,1
1.1,0.46,EPC-map,1
1.2,0.439,EPC-map,1
1.3,0.421,EPC-map,1
1.4,0.419,EPC-map,1
1.5,0.4,EPC-map,1
0.2,0.286,EPC-map,1
0.3,0.364,EPC-map,1
0.4,0.31,EPC-map,1
0.5,0.243,EPC-map,1
0.6,0.205,EPC-map,1
0.7,0.176,EPC-map,1
0.8,0.169,EPC-map,1
0.9,0.152,EPC-map,1
1.0,0.135,EPC-map,1
1.1,0.123,EPC-map,1
1.2,0.114,EPC-map,1
1.3,0.104,EPC-map,1
1.4,0.097,EPC-map,1
1.5,0.099,EPC-map,1
0.2,0.389,EPC-map,1
0.3,0.296,EPC-map,1
0.4,0.25,EPC-map,1
0.5,0.2,EPC-map,1
0.6,0.204,EPC-map,1
0.7,0.206,EPC-map,1
0.8,0.181,EPC-map,1
0.9,0.16,EPC-map,1
1.0,0.167,EPC-map,1
1.1,0.152,EPC-map,1
1.2,0.139,EPC-map,1
1.3,0.145,EPC-map,1
1.4,0.143,EPC-map,1
1.5,0.133,EPC-map,1
0.2,0.577,EPC-map,1
0.3,0.487,EPC-map,1
0.4,0.434,EPC-map,1
0.5,0.379,EPC-map,1
0.6,0.329,EPC-map,1
0.7,0.323,EPC-map,1
0.8,0.292,EPC-map,1
0.9,0.277,EPC-map,1
1.0,0.278,EPC-map,1
1.1,0.253,EPC-map,1
1.2,0.239,EPC-map,1
1.3,0.233,EPC-map,1
1.4,0.22,EPC-map,1
1.5,0.211,EPC-map,1
0.2,0.25,EPC-map,1
0.3,0.167,EPC-map,1
0.4,0.167,EPC-map,1
0.5,0.133,EPC-map,1
0.6,0.139,EPC-map,1
0.7,0.119,EPC-map,1
0.8,0.104,EPC-map,1
0.9,0.093,EPC-map,1
1.0,0.083,EPC-map,1
1.1,0.121,EPC-map,1
1.2,0.139,EPC-map,1
1.3,0.128,EPC-map,1
1.4,0.131,EPC-map,1
1.5,0.133,EPC-map,1
0.2,0.619,EPC-map,1
0.3,0.645,EPC-map,1
0.4,0.548,EPC-map,1
0.5,0.491,EPC-map,1
0.6,0.413,EPC-map,1
0.7,0.351,EPC-map,1
0.8,0.345,EPC-map,1
0.9,0.347,EPC-map,1
1.0,0.311,EPC-map,1
1.1,0.284,EPC-map,1
1.2,0.26,EPC-map,1
1.3,0.241,EPC-map,1
1.4,0.23,EPC-map,1
1.5,0.22,EPC-map,1
0.2,0.625,EPC-map,1
0.3,0.583,EPC-map,1
0.4,0.594,EPC-map,1
0.5,0.55,EPC-map,1
0.6,0.521,EPC-map,1
0.7,0.5,EPC-map,1
0.8,0.469,EPC-map,1
0.9,0.444,EPC-map,1
1.0,0.395,EPC-map,1
1.1,0.371,EPC-map,1
1.2,0.34,EPC-map,1
1.3,0.324,EPC-map,1
1.4,0.301,EPC-map,1
1.5,0.281,EPC-map,1
0.2,0.643,EPC-map,1
0.3,0.524,EPC-map,1
0.4,0.517,EPC-map,1
0.5,0.5,EPC-map,1
0.6,0.512,EPC-map,1
0.7,0.49,EPC-map,1
0.8,0.483,EPC-map,1
0.9,0.446,EPC-map,1
1.0,0.397,EPC-map,1
1.1,0.362,EPC-map,1
1.2,0.345,EPC-map,1
1.3,0.351,EPC-map,1
1.4,0.333,EPC-map,1
1.5,0.321,EPC-map,1
0.2,0.308,EPC-map,1
0.3,0.225,EPC-map,1
0.4,0.189,EPC-map,1
0.5,0.179,EPC-map,1
0.6,0.15,EPC-map,1
0.7,0.161,EPC-map,1
0.8,0.159,EPC-map,1
0.9,0.158,EPC-map,1
