Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Subcellular location [CC]	Gene ontology (cellular component)	Gene ontology (biological process)
P54577	SYYC_HUMAN	reviewed	Tyrosine--tRNA ligase, cytoplasmic (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS) [Cleaved into: Tyrosine--tRNA ligase, cytoplasmic, N-terminally processed]	YARS	Homo sapiens (Human)	528	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16429158}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular space [GO:0005615]; nucleus [GO:0005634]	apoptotic process [GO:0006915]; tRNA aminoacylation for protein translation [GO:0006418]; tyrosyl-tRNA aminoacylation [GO:0006437]; valyl-tRNA aminoacylation [GO:0006438]
P62851	RS25_HUMAN	reviewed	40S ribosomal protein S25	RPS25	Homo sapiens (Human)	125		cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribosome [GO:0005840]; small ribosomal subunit [GO:0015935]	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]
P68366	TBA4A_HUMAN	reviewed	Tubulin alpha-4A chain (Alpha-tubulin 1) (Testis-specific alpha-tubulin) (Tubulin H2-alpha) (Tubulin alpha-1 chain)	TUBA4A TUBA1	Homo sapiens (Human)	448	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton.	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; microtubule [GO:0005874]	G2/M transition of mitotic cell cycle [GO:0000086]; microtubule-based process [GO:0007017]; platelet degranulation [GO:0002576]
Q9Y3Z3	SAMH1_HUMAN	reviewed	Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 (dNTPase) (EC 3.1.5.-) (Dendritic cell-derived IFNG-induced protein) (DCIP) (Monocyte protein 5) (MOP-5) (SAM domain and HD domain-containing protein 1)	SAMHD1 MOP5	Homo sapiens (Human)	626	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:19525956, ECO:0000269|PubMed:23092512}.	intracellular [GO:0005622]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	dATP catabolic process [GO:0046061]; defense response to virus [GO:0051607]; dGTP catabolic process [GO:0006203]; immune response [GO:0006955]; protein homotetramerization [GO:0051289]; regulation of innate immune response [GO:0045088]; type I interferon signaling pathway [GO:0060337]
Q15942	ZYX_HUMAN	reviewed	Zyxin (Zyxin-2)	ZYX	Homo sapiens (Human)	572	SUBCELLULAR LOCATION: Cytoplasm. Cytoplasm, cytoskeleton. Nucleus. Cell junction, focal adhesion. Note=Associates with the actin cytoskeleton near the adhesion plaques. Enters the nucleus in the presence of HESX1.	cell-cell adherens junction [GO:0005913]; cytoplasm [GO:0005737]; focal adhesion [GO:0005925]; integral component of plasma membrane [GO:0005887]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; stress fiber [GO:0001725]	cell adhesion [GO:0007155]; cell-cell signaling [GO:0007267]; cell-matrix adhesion [GO:0007160]; integrin-mediated signaling pathway [GO:0007229]; regulation of inflammatory response [GO:0050727]; signal transduction [GO:0007165]; stress fiber assembly [GO:0043149]; transforming growth factor beta receptor signaling pathway [GO:0007179]; viral process [GO:0016032]
Q9Y3U8	RL36_HUMAN	reviewed	60S ribosomal protein L36	RPL36	Homo sapiens (Human)	105		cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; membrane [GO:0016020]; nucleolus [GO:0005730]	cytoplasmic translation [GO:0002181]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]
O00629	IMA3_HUMAN	reviewed	Importin subunit alpha-3 (Importin alpha Q1) (Qip1) (Karyopherin subunit alpha-4)	KPNA4 QIP1	Homo sapiens (Human)	521	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}.	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nuclear pore [GO:0005643]; nucleoplasm [GO:0005654]	intracellular transport of virus [GO:0075733]; modulation by virus of host process [GO:0019054]; NLS-bearing protein import into nucleus [GO:0006607]; response to hydrogen peroxide [GO:0042542]
O00571	DDX3X_HUMAN	reviewed	ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (DEAD box protein 3, X-chromosomal) (DEAD box, X isoform) (Helicase-like protein 2) (HLP2)	DDX3X DBX DDX3	Homo sapiens (Human)	662	SUBCELLULAR LOCATION: Nucleus speckle. Cytoplasm. Mitochondrion outer membrane. Note=Located predominantly in nuclear speckles and, at low levels, throughout the cytoplasm. Located to the outer side of nuclear pore complexes (NPC). Shuttles between the nucleus and the cytoplasm in a XPO1 and may be also in a NFX1-dependent manner. Associated with polyadenylated mRNAs in the cytoplasm and the nucleus. Predominantly located in nucleus during G(0) phase and in the cytoplasm during G1/S phase.	cell-cell adherens junction [GO:0005913]; cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; extracellular exosome [GO:0070062]; mitochondrial outer membrane [GO:0005741]; nuclear speck [GO:0016607]; nucleus [GO:0005634]	cellular response to arsenic-containing substance [GO:0071243]; cellular response to osmotic stress [GO:0071470]; chromosome segregation [GO:0007059]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; innate immune response [GO:0045087]; intracellular signal transduction [GO:0035556]; intrinsic apoptotic signaling pathway [GO:0097193]; mature ribosome assembly [GO:0042256]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell growth [GO:0030308]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; negative regulation of intrinsic apoptotic signaling pathway [GO:2001243]; negative regulation of protein complex assembly [GO:0031333]; negative regulation of translation [GO:0017148]; positive regulation of apoptotic process [GO:0043065]; positive regulation of cell growth [GO:0030307]; positive regulation of chemokine (C-C motif) ligand 5 production [GO:0071651]; positive regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043280]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of gene expression [GO:0010628]; positive regulation of interferon-beta production [GO:0032728]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; positive regulation of translation [GO:0045727]; positive regulation of translational initiation [GO:0045948]; positive regulation of viral genome replication [GO:0045070]; protein localization to cytoplasmic stress granule [GO:1903608]; response to virus [GO:0009615]; RNA secondary structure unwinding [GO:0010501]; stress granule assembly [GO:0034063]; transcription, DNA-templated [GO:0006351]; Wnt signaling pathway [GO:0016055]
Q5MIZ7	P4R3B_HUMAN	reviewed	Serine/threonine-protein phosphatase 4 regulatory subunit 3B (SMEK homolog 2)	PPP4R3B KIAA1387 PP4R3B SMEK2	Homo sapiens (Human)	849	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:18487071}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:18487071}. Nucleus {ECO:0000269|PubMed:18487071}. Note=In interphase localized in the cytoplasm and (with higher levels) the nucleus. During metaphase located in pericentriolar regions.	centrosome [GO:0005813]; cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; protein phosphatase 4 complex [GO:0030289]	positive regulation of gluconeogenesis [GO:0045722]; protein dephosphorylation [GO:0006470]; regulation of lipid metabolic process [GO:0019216]
O00148	DX39A_HUMAN	reviewed	ATP-dependent RNA helicase DDX39A (EC 3.6.4.13) (DEAD box protein 39) (Nuclear RNA helicase URH49)	DDX39A DDX39	Homo sapiens (Human)	427	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:21859714}. Cytoplasm {ECO:0000269|PubMed:21859714}. Note=Can translocate to the cytoplasm in the presence of MX1.	cytoplasm [GO:0005737]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]	cellular response to DNA damage stimulus [GO:0006974]; mRNA 3'-end processing [GO:0031124]; mRNA export from nucleus [GO:0006406]; mRNA splicing, via spliceosome [GO:0000398]; regulation of gene expression [GO:0010468]; RNA export from nucleus [GO:0006405]; RNA secondary structure unwinding [GO:0010501]; termination of RNA polymerase II transcription [GO:0006369]
P09972	ALDOC_HUMAN	reviewed	Fructose-bisphosphate aldolase C (EC 4.1.2.13) (Brain-type aldolase)	ALDOC ALDC	Homo sapiens (Human)	364		cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; mitochondrion [GO:0005739]	canonical glycolysis [GO:0061621]; epithelial cell differentiation [GO:0030855]; fructose 1,6-bisphosphate metabolic process [GO:0030388]; fructose metabolic process [GO:0006000]; gluconeogenesis [GO:0006094]
Q14103	HNRPD_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein D0 (hnRNP D0) (AU-rich element RNA-binding protein 1)	HNRNPD AUF1 HNRPD	Homo sapiens (Human)	355	SUBCELLULAR LOCATION: Nucleus. Cytoplasm. Note=Localized in cytoplasmic mRNP granules containing untranslated mRNAs. Component of ribonucleosomes. Cytoplasmic localization oscillates diurnally.	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; intracellular ribonucleoprotein complex [GO:0030529]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	3'-UTR-mediated mRNA destabilization [GO:0061158]; cellular response to amino acid stimulus [GO:0071230]; cellular response to estradiol stimulus [GO:0071392]; cellular response to nitric oxide [GO:0071732]; cellular response to putrescine [GO:1904586]; cerebellum development [GO:0021549]; circadian regulation of translation [GO:0097167]; gene expression [GO:0010467]; hepatocyte dedifferentiation [GO:1990828]; liver development [GO:0001889]; mRNA splicing, via spliceosome [GO:0000398]; mRNA stabilization [GO:0048255]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of translation [GO:0045727]; regulation of circadian rhythm [GO:0042752]; regulation of mRNA stability [GO:0043488]; regulation of transcription, DNA-templated [GO:0006355]; response to calcium ion [GO:0051592]; response to electrical stimulus [GO:0051602]; response to fluoxetine [GO:0014076]; response to rapamycin [GO:1901355]; response to sodium phosphate [GO:1904383]; RNA catabolic process [GO:0006401]; RNA processing [GO:0006396]; transcription, DNA-templated [GO:0006351]
A8MYH0	A8MYH0_HUMAN		Deleted.						
A8MTE3	A8MTE3_HUMAN		Deleted.						
P12277	KCRB_HUMAN	reviewed	Creatine kinase B-type (EC 2.7.3.2) (B-CK) (Creatine kinase B chain)	CKB CKBB	Homo sapiens (Human)	381	SUBCELLULAR LOCATION: Cytoplasm.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; mitochondrion [GO:0005739]; myelin sheath [GO:0043209]	cellular chloride ion homeostasis [GO:0030644]; creatine metabolic process [GO:0006600]; substantia nigra development [GO:0021762]
Q8WZ42	TITIN_HUMAN	reviewed	Titin (EC 2.7.11.1) (Connectin) (Rhabdomyosarcoma antigen MU-RMS-40.14)	TTN	Homo sapiens (Human)	34350	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305|PubMed:16410549}. Nucleus {ECO:0000269|PubMed:16410549}.	condensed nuclear chromosome [GO:0000794]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; I band [GO:0031674]; M band [GO:0031430]; muscle myosin complex [GO:0005859]; striated muscle thin filament [GO:0005865]; Z disc [GO:0030018]	cardiac muscle contraction [GO:0060048]; cardiac muscle fiber development [GO:0048739]; cardiac muscle hypertrophy [GO:0003300]; cardiac muscle tissue morphogenesis [GO:0055008]; cardiac myofibril assembly [GO:0055003]; detection of muscle stretch [GO:0035995]; mitotic chromosome condensation [GO:0007076]; muscle contraction [GO:0006936]; muscle filament sliding [GO:0030049]; platelet degranulation [GO:0002576]; regulation of catalytic activity [GO:0050790]; regulation of protein kinase activity [GO:0045859]; response to calcium ion [GO:0051592]; sarcomere organization [GO:0045214]; sarcomerogenesis [GO:0048769]; skeletal muscle myosin thick filament assembly [GO:0030241]; skeletal muscle thin filament assembly [GO:0030240]; striated muscle contraction [GO:0006941]
P00558	PGK1_HUMAN	reviewed	Phosphoglycerate kinase 1 (EC 2.7.2.3) (Cell migration-inducing gene 10 protein) (Primer recognition protein 2) (PRP 2)	PGK1 PGKA MIG10 OK/SW-cl.110	Homo sapiens (Human)	417	SUBCELLULAR LOCATION: Cytoplasm.	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; membrane raft [GO:0045121]	canonical glycolysis [GO:0061621]; epithelial cell differentiation [GO:0030855]; gluconeogenesis [GO:0006094]; phosphorylation [GO:0016310]
Q16401	PSMD5_HUMAN	reviewed	26S proteasome non-ATPase regulatory subunit 5 (26S protease subunit S5 basic) (26S proteasome subunit S5B)	PSMD5 KIAA0072	Homo sapiens (Human)	504		cytosol [GO:0005829]; nucleoplasm [GO:0005654]; proteasome accessory complex [GO:0022624]; proteasome complex [GO:0000502]	anaphase-promoting complex-dependent catabolic process [GO:0031145]; antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent [GO:0002479]; Fc-epsilon receptor signaling pathway [GO:0038095]; MAPK cascade [GO:0000165]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle [GO:0051436]; NIK/NF-kappaB signaling [GO:0038061]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition [GO:0051437]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; proteasome regulatory particle assembly [GO:0070682]; protein polyubiquitination [GO:0000209]; regulation of cellular amino acid metabolic process [GO:0006521]; regulation of mRNA stability [GO:0043488]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]; T cell receptor signaling pathway [GO:0050852]; tumor necrosis factor-mediated signaling pathway [GO:0033209]; Wnt signaling pathway, planar cell polarity pathway [GO:0060071]
Q96F88	Q96F88_HUMAN	unreviewed	Processing of 1, ribonuclease P/MRP subunit (S. cerevisiae)	POP1	Homo sapiens (Human)	1024			tRNA 5'-leader removal [GO:0001682]
Q5SZC6	Q5SZC6_HUMAN	unreviewed	Guanine deaminase	GDA	Homo sapiens (Human)	393			guanine catabolic process [GO:0006147]
